,content,label
0,"Seemingly overnight, Sam Bankman-Fried, the founder of FTX, went from cryptocurrency wunderkind to wanted for questioning by the FBI. After years of unfettered success, the walls of SBF's blockchain … []",Bitcoin
1,"When Elon Musk took over Twitter last year, many users migrated to the free and open-source platform Mastodon. Mastodon, like other decentralized social media, isnt owned by one of the major players … []",Bitcoin
2,"PlugwalkJoe pleads guilty for the massive 2020 Twitter hack and other crimes
PlugwalkJoe pleads guilty for the massive 2020 Twitter hack and other crimes
 / The hack compromised numerous high-profi… []",Bitcoin
3,A man accused of hacking Twitter accounts in a Bitcoin scheme pleaded guilty on Tuesday for his role in cyber stalking and computer hacking that exploited numerous high-profile social media accounts.… [],Bitcoin
4,"Former Terraform Labs CEO Do Kwon, alongside his compatriot and former chief financial officer Han Chong-joon have been on the run from international police for months. They were arrested in Monteneg… []",Bitcoin
5,"In 2022, Twitter co-founder Jack Dorsey left the company. One of his new projects, Bluesky, is a social media app that looks exactly like Twitter. The difference? Bluesky promises an unprecedented le… []",Bitcoin
6,"The Kremlin has denied interfering in Turkey's elections after the opposition candidate, Kemal Kilicdaroglu, accused Russia of ""meddling"".
Spokesman Dmitry Peskov said Russians did not interfere in … []",Bitcoin
7,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… []",Bitcoin
8,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… []",Bitcoin
9,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… []",Bitcoin
10,"Jose Antonio Potes and his childhood friend Manuel Castrillón travelled to El Salvador hoping to find the safe, prosperous, tech-friendly paradise that they had heard about in Colombian media.
Presi… []",Bitcoin
11,"The mastermind behind an online fraud shop used to con victims out of more than £100m has been jailed for more than 13 years.
Tejay Fletcher, 35, bought a £230,000 Lamborghini, two Range Rovers wort… []",Bitcoin
12,"Lets check in on social media.
In February, Bluesky released its iOS app. The social network began as a spinoff within Twitter to build a fully decentralised protocol, something that could replicate… []",Bitcoin
13,"Bitcoin got a vote of confidence as a long-term store of value after Tether said Wednesday it will buy more of the crypto to back its stablecoin.
The issuer of USDT said it will allocate up to 15% o… []",Bitcoin
14,"Worldcoin is in advanced talks to raise the cash from both new and existing investors ahead of a potential launch within the next few weeks, the Financial Times said Sunday, citing three people with … []",Bitcoin
15,"Bitcoin.Photo by Getty Images
<ul>
<li>Bitcoin could hit a new record high next year, said Bob Ras, cofounder of blockchain firm Sologenic.</li>
<li>He cited bitcoin halving, which will reduce minin… []",Bitcoin
16,"BitcoinYuichiro Chino/Getty Images
<ul>
<li>Top economist Steve Hanke reiterated that the world's most popular cryptocurrency is essentially worthless. </li>
<li>He was reacting to bitcoin falling t… []",Bitcoin
17,"Robert Kiyosaki.Courtesy of Robert Kiyosaki
<ul>
<li>Robert Kiyosaki warned that the US economy is heading for a severe downturn.</li>
<li>The ""Rich Dad Poor Dad"" author touted bitcoin, silver and g… []",Bitcoin
18,"Elon Musk's Twitter account, and Joseph James O'Connor arrested in Spain in 2021.Matt Cardy/Getty Images; REUTERS/Jon Nazca
<ul>
<li>Several high-profile Twitter accounts were hacked as part of a bi… []",Bitcoin
19,"Galaxy Digital will move more of its crypto operations offshore, billionaire investor Mike Novogratz said Tuesday.Lucas Jackson/Reuters
<ul>
<li>Galaxy Digital will move more of its operations offsh… []",Bitcoin
20,"Crypto, and especially hidden crypto investments, have become an increasing conflict in divorces.Wenjin Chen/Getty Images
<ul>
<li>Cryptocurrency is complicating an increasing amount of divorces, a … []",Bitcoin
21,"Photo by Spencer Platt/Getty Images
<ul><li>US stocks were mostly lower on Thursday after weekly jobless claims jumped to the highest level since October 2021.</li><li>Initial jobless claims surged … []",Bitcoin
22,"Traders work on the floor of the New York Stock Exchange.Michael M. Santiago/Getty Images
 <ul>
<li>US stocks advanced Friday as investors see the potential for a deal that raises the $31 trillion d… []",Bitcoin
23,"Traders work the floor of the New York Stock Exchange during morning trading on May 05, 2022 in New York City.Michael M. Santiago/Getty
<ul><li>US stocks fell on Thursday after weekly jobless claims… []",Bitcoin
24,"Pro-democracy protesters wearing ""Pepe the Frog"" masks during a march in Hong Kong.AP Photo/Kin Cheung, File
<ul>
<li>Pepecoin surged to over $1 billion in market value this month, but its price has… []",Bitcoin
25,"Happy Friday eve, readers. Phil Rosen here it's been a busy few days in financial news with Tesla's shareholder meeting, choppy markets, and of course more debt-ceiling meetings.
But those talks in … []",Bitcoin
26,"Stocks to buy before earnings.Caspar Benson/Getty Images
<ul>
<li>Gold has jumped above stocks as Americans' preferred investment, according to a Gallup survey.</li>
<li>The share who view gold as t… []",Bitcoin
